parish,network,station_name,slug,station_id,rain_gauge_sensor_id,rain_rate_sensor_id,lat,lon,oldest_record,status,notes
East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,1313,27974,27977,30.411238,-91.183516,,candidate_complete,fetched station.json; fetched https://eastbatonrouge.weatherstem.com/data?refer=/alexbox; fetched https://eastbatonrouge.weatherstem.com/alexbox
East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,389,,,30.411921,-91.183756,,partial,fetched station.json; fetched https://eastbatonrouge.weatherstem.com/data?refer=/tigerstadium; fetched https://eastbatonrouge.weatherstem.com/tigerstadium
Orleans,orleans,City Equipment Maintenance (Desire),desire,468,,,29.999916,-90.031334,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/desire; fetched https://orleans.weatherstem.com/desire
Orleans,orleans,Fairgrounds Race Course (Fairgrounds),fairgrounds,2356,,,29.982384,-90.079372,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/fairgrounds; fetched https://orleans.weatherstem.com/fairgrounds
Orleans,orleans,Harbor Police Headquarters (Irish Channel),irishchannel,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/irishchannel; fetched https://orleans.weatherstem.com/irishchannel
Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,1819,37688,37691,29.93707,-90.119921,,candidate_complete,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/loyola; fetched https://orleans.weatherstem.com/loyola
Orleans,orleans,Municipal Training Academy East (Almonaster),almonaster,468,,,30.01734,-89.927994,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/almonaster; fetched https://orleans.weatherstem.com/almonaster
Orleans,orleans,Municipal Yacht Harbor (Lakefront),lakefront,1890,,,30.028359,-90.115627,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/lakefront; fetched https://orleans.weatherstem.com/lakefront
Orleans,orleans,New Orleans City Hall (Central Business District),cityhall,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/cityhall; fetched https://orleans.weatherstem.com/cityhall
Orleans,orleans,NOFD Engine 4 (Pines Village),engine4,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine4; fetched https://orleans.weatherstem.com/engine4
Orleans,orleans,NOFD Engine 12 (Gentilly/Milneburg),engine12,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine12; fetched https://orleans.weatherstem.com/engine12
Orleans,orleans,NOFD Engine 16 (Central City),engine16,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine16; fetched https://orleans.weatherstem.com/engine16
Orleans,orleans,NOFD Engine 27 (Seventh Ward/St. Roch),engine27,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine27; fetched https://orleans.weatherstem.com/engine27
Orleans,orleans,NOFD Engine 31 (Venetian Isles),engine31,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine31; fetched https://orleans.weatherstem.com/engine31
Orleans,orleans,NOFD Engine 36 (New Orleans East),engine36,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/engine36; fetched https://orleans.weatherstem.com/engine36
Orleans,orleans,NOFD Logistics (Navarre),logistics,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/logistics; fetched https://orleans.weatherstem.com/logistics
Orleans,orleans,NOFD Rescue Squad 7 (Treme),treme,38977,,,29.962679,-90.071544,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/treme; fetched https://orleans.weatherstem.com/treme
Orleans,orleans,NOPD Stables (City Park),stables,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/stables; fetched https://orleans.weatherstem.com/stables
Orleans,orleans,NORDC Morris F.X. Jeff Sr. Park (Algiers),algiers,4648,,,29.942018,-90.029914,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/algiers; fetched https://orleans.weatherstem.com/algiers
Orleans,orleans,NORDC Norman Playground (Old Aurora),oldaurora,2281,,,29.919922,-89.998203,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/oldaurora; fetched https://orleans.weatherstem.com/oldaurora
Orleans,orleans,Port NOLA Administration (Warehouse District/Riverwalk),riverwalk,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/riverwalk; fetched https://orleans.weatherstem.com/riverwalk
Orleans,orleans,Port NOLA Maintenance (Uptown/West Riverside),maintenance,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/maintenance; fetched https://orleans.weatherstem.com/maintenance
Orleans,orleans,Regional Transit Authority (Mid City),midcity,2248,,,29.9672,-90.08893,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/midcity; fetched https://orleans.weatherstem.com/midcity
Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,1826,,,29.954989,-90.13982,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/carrolltonbend; fetched https://orleans.weatherstem.com/carrolltonbend
Orleans,orleans,SWBNO East Bank Water Treatment (Lower 9th Ward),lower9thward,,,,,,,not_found,fetched https://orleans.weatherstem.com/data?refer=/lower9thward; fetched https://orleans.weatherstem.com/lower9thward
Orleans,orleans,SWBNO Pumping Station (Little Woods),littlewoods,468,,,30.058639,-89.966746,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/littlewoods; fetched https://orleans.weatherstem.com/littlewoods
Orleans,orleans,SWBNO Pumping Station (Bayou Sauvage),bayousauvage,9,,,30.029771,-89.867959,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/bayousauvage; fetched https://orleans.weatherstem.com/bayousauvage
Orleans,orleans,SWBNO West Bank Water Treatment (English Turn),englishturn,2004,,,29.907042,-89.966192,,partial,fetched station.json; fetched https://orleans.weatherstem.com/data?refer=/englishturn; fetched https://orleans.weatherstem.com/englishturn
St. Charles,stcharles,Killona Volunteer Fire Department,killona,2205,,,30.001421,-90.486359,,partial,fetched station.json; fetched https://stcharles.weatherstem.com/data?refer=/killona; fetched https://stcharles.weatherstem.com/killona
St. Charles,stcharles,St. Charles Parish EOC,stcharleseoc,1884,38955,38958,29.964178,-90.403987,,candidate_complete,fetched station.json; fetched https://stcharles.weatherstem.com/data?refer=/stcharleseoc; fetched https://stcharles.weatherstem.com/stcharleseoc
St. Charles,stcharles,Willowridge Pump Station Luling,willowridge,,,,,,,not_found,fetched https://stcharles.weatherstem.com/data?refer=/willowridge; fetched https://stcharles.weatherstem.com/willowridge
